firstName ,lastName ,Driver's birthdate,Driver license unique number,Driver license name,Driver license address,Driver license birthdate,Country of issuance,State of issuance,Issuance date,Expiration date,Vehicle make,Vehicle model,Vehicle year,Vehicle owner,Vehicle owner birthdate,Vehicle owner address,Vehicle insurance owner,Insurance covered drivers,Insurance expiration date,Traffic violation date,Traffic violation type,Violation driver,Vehicle violation date,Vehicle violation type,Violation driver
John,Smith,7/15/1985,D12345,John Smith,123 Main St,7/15/1985,USA,CA,1/10/2023,1/10/2025,Chevrolet,Cruze,2018,John Smith,7/15/1985,123 Main St,John Smith,John Smith,1/10/2024,5/1/2022,Distracted driving,John Smith,5/1/2022,Speeding,Jane Doe
Jane,Doe,3/20/1990,D67890,Jane Doe,456 Elm St,3/20/1990,USA,NY,2/15/2023,2/15/2025,Toyota,Corolla,2020,Jane Doe,3/20/1990,456 Elm St,Jane Doe,Jane Doe,2/15/2024,6/10/2022,Reckless driving,Jane Doe,6/10/2022,Failure to respect traffic signs,John Smith
Michael,Johnson,11/5/1982,F54321,Michael Johnson,789 Oak Ave,11/5/1982,USA,FL,3/20/2023,3/20/2025,Ford,Escape,2019,Michael Johnson,11/5/1982,789 Oak Ave,Michael Johnson,Michael Johnson,3/20/2024,8/3/2022,Speeding,Jane Doe,8/3/2022,Parking violation,Michael Johnson
David,Wilson,9/18/1998,W98765,David Wilson,567 Pine Rd,9/18/1998,USA,TX,5/8/2023,5/8/2025,Honda,Accord,2017,David Wilson,9/18/1998,567 Pine Rd,David Wilson,David Wilson,5/8/2024,10/20/2022,Driving under influence,Jane Doe,10/20/2022,Parking violation,Michael Johnson
Emily,Brown,12/2/1993,E23456,Emily Brown,789 Maple Ln,12/2/1993,USA,CA,6/12/2023,6/12/2025,Toyota,Rav4,2021,Emily Brown,12/2/1993,789 Maple Ln,Emily Brown,Emily Brown,6/12/2024,11/15/2022,Distracted driving,John Smith,11/15/2022,Reckless driving,Jane Doe
Daniel,Martinez,2/28/1989,M87654,Daniel Martinez,890 Oak St,2/28/1989,USA,FL,7/18/2023,7/18/2025,Chevrolet,Equinox,2019,Daniel Martinez,2/28/1989,890 Oak St,Daniel Martinez,Daniel Martinez,7/18/2024,12/5/2022,Speeding,Jane Doe,12/5/2022,Driving without a valid license and/or insurance,Michael Johnson
Sophia,Davis,6/10/1995,S76543,Sophia Davis,345 Cedar Pl,6/10/1995,USA,NY,8/22/2023,8/22/2025,Subaru,Outback,2022,Sophia Davis,6/10/1995,345 Cedar Pl,Sophia Davis,Sophia Davis,8/22/2024,1/18/2023,Driving without a valid license and/or insurance,John Smith,1/18/2023,Reckless driving,Jane Doe
Alexander,Taylor,1/25/1987,A65432,Alexander Taylor,678 Birch Ave,1/25/1987,USA,CA,9/25/2023,9/25/2025,Honda,Civic,2016,Alexander Taylor,1/25/1987,678 Birch Ave,Alexander Taylor,Alexander Taylor,9/25/2024,2/10/2023,Distracted driving,Jane Doe,2/10/2023,Failure to respect traffic signs,Michael Johnson
Olivia,Moore,8/14/1999,O54321,Olivia Moore,890 Oak Ln,8/14/1999,USA,FL,10/28/2023,10/28/2025,Toyota,Corolla,2020,Olivia Moore,8/14/1999,890 Oak Ln,Olivia Moore,Olivia Moore,10/28/2024,3/25/2023,Parking violation,John Smith,3/25/2023,Speeding,Jane Doe

